"","Labels","Cluster"
"1","Astro L1-2 FGFR3 GFAP",0
"2","Astro L1-6 FGFR3 SLC14A1",1
"3","Endo L2-6 NOSTRIN",2
"4","Exc L2 LAMP5 LTK",3
"5","Exc L2-3 LINC00507 FREM3",4
"6","Exc L2-4 LINC00507 GLP2R",5
"7","Exc L3-4 RORB CARM1P1",6
"8","Exc L3-5 RORB COL22A1",7
"9","Exc L3-5 RORB ESR1",8
"10","Exc L3-5 RORB FILIP1L",9
"11","Exc L3-5 RORB TWIST2",10
"12","Exc L4-5 FEZF2 SCN4B",11
"13","Exc L4-5 RORB DAPK2",12
"14","Exc L4-5 RORB FOLH1B",13
"15","Exc L4-6 FEZF2 IL26",14
"16","Exc L4-6 RORB C1R",15
"17","Exc L4-6 RORB SEMA3E",16
"18","Exc L5-6 FEZF2 ABO",17
"19","Exc L5-6 FEZF2 EFTUD1P1",18
"20","Exc L5-6 RORB TTC12",19
"21","Exc L5-6 SLC17A7 IL15",20
"22","Exc L5-6 THEMIS C1QL3",21
"23","Exc L5-6 THEMIS CRABP1",22
"24","Exc L5-6 THEMIS DCSTAMP",23
"25","Exc L5-6 THEMIS FGF10",24
"26","Exc L6 FEZF2 OR2T8",25
"27","Exc L6 FEZF2 SCUBE1",26
"28","Inh L1 SST CHRNA4",27
"29","Inh L1 SST NMBR",28
"30","Inh L1-2 GAD1 MC4R",29
"31","Inh L1-2 LAMP5 DBP",30
"32","Inh L1-2 PAX6 CDH12",31
"33","Inh L1-2 PAX6 TNFAIP8L3",32
"34","Inh L1-2 SST BAGE2",33
"35","Inh L1-2 VIP LBH",34
"36","Inh L1-2 VIP PCDH20",35
"37","Inh L1-2 VIP TSPAN12",36
"38","Inh L1-3 PAX6 SYT6",37
"39","Inh L1-3 SST CALB1",38
"40","Inh L1-3 VIP ADAMTSL1",39
"41","Inh L1-3 VIP CCDC184",40
"42","Inh L1-3 VIP CHRM2",41
"43","Inh L1-3 VIP GGH",42
"44","Inh L1-4 LAMP5 LCP2",43
"45","Inh L1-4 VIP CHRNA6",44
"46","Inh L1-4 VIP OPRM1",45
"47","Inh L1-4 VIP PENK",46
"48","Inh L2-3 VIP CASC6",47
"49","Inh L2-4 PVALB WFDC2",48
"50","Inh L2-4 SST FRZB",49
"51","Inh L2-4 VIP CBLN1",50
"52","Inh L2-4 VIP SPAG17",51
"53","Inh L2-5 PVALB SCUBE3",52
"54","Inh L2-5 VIP SERPINF1",53
"55","Inh L2-5 VIP TYR",54
"56","Inh L2-6 LAMP5 CA1",55
"57","Inh L2-6 VIP QPCT",56
"58","Inh L3-5 SST ADGRG6",57
"59","Inh L3-6 SST HPGD",58
"60","Inh L3-6 SST NPY",59
"61","Inh L3-6 VIP HS3ST3A1",60
"62","Inh L4-5 PVALB MEPE",61
"63","Inh L4-5 SST STK32A",62
"64","Inh L4-6 PVALB SULF1",63
"65","Inh L4-6 SST B3GAT2",64
"66","Inh L4-6 SST GXYLT2",65
"67","Inh L5-6 GAD1 GLP1R",66
"68","Inh L5-6 PVALB LGR5",67
"69","Inh L5-6 SST KLHDC8A",68
"70","Inh L5-6 SST MIR548F2",69
"71","Inh L5-6 SST NPM1P10",70
"72","Inh L5-6 SST TH",71
"73","Micro L1-3 TYROBP",72
"74","Oligo L1-6 OPALIN",73
"75","OPC L1-6 PDGFRA",74
