"","X.Inh.L4.6.SST.B3GAT2.","X.182."
"1","Inh L4-6 SST B3GAT2","182"
"2","Exc L5-6 RORB TTC12","167"
"3","Exc L5-6 FEZF2 ABO","373"
"4","Exc L5-6 FEZF2 EFTUD1P1","314"
"5","Exc L3-5 RORB ESR1","1428"
"6","Exc L4-5 RORB FOLH1B","870"
"7","Inh L1-4 LAMP5 LCP2","356"
"8","Oligo L1-6 OPALIN","313"
"9","Exc L5-6 THEMIS C1QL3","1537"
"10","Inh L2-3 VIP CASC6","45"
"11","Exc L4-6 RORB SEMA3E","777"
"12","Inh L4-6 PVALB SULF1","167"
"13","Exc L5-6 THEMIS CRABP1","147"
"14","Exc L4-6 FEZF2 IL26","344"
"15","Exc L4-5 RORB DAPK2","173"
"16","Exc L3-5 RORB TWIST2","93"
"17","Inh L3-6 SST HPGD","60"
"18","Inh L5-6 SST NPM1P10","79"
"19","Inh L5-6 SST MIR548F2","80"
"20","Inh L4-5 PVALB MEPE","64"
"21","Inh L5-6 SST TH","27"
"22","OPC L1-6 PDGFRA","238"
"23","Inh L1-2 VIP PCDH20","61"
"24","Inh L1-2 PAX6 CDH12","90"
"25","Inh L1 SST NMBR","283"
"26","Astro L1-2 FGFR3 GFAP","61"
"27","Exc L2-3 LINC00507 FREM3","2284"
"28","Exc L2 LAMP5 LTK","812"
"29","Inh L1-3 PAX6 SYT6","29"
"30","Inh L1-2 SST BAGE2","108"
"31","Astro L1-6 FGFR3 SLC14A1","230"
"32","Inh L1-2 VIP TSPAN12","42"
"33","Inh L1-3 VIP CHRM2","175"
"34","Inh L1-2 GAD1 MC4R","107"
"35","Inh L1 SST CHRNA4","52"
"36","Micro L1-3 TYROBP","63"
"37","Inh L2-5 VIP TYR","62"
"38","Inh L1-3 VIP GGH","68"
"39","Inh L2-6 LAMP5 CA1","256"
"40","Inh L1-4 VIP OPRM1","52"
"41","Inh L2-4 PVALB WFDC2","387"
"42","Inh L1-3 VIP CCDC184","64"
"43","Inh L1-2 VIP LBH","47"
"44","Inh L2-4 SST FRZB","64"
"45","Inh L2-4 VIP CBLN1","67"
"46","Inh L1-3 VIP ADAMTSL1","72"
"47","Inh L4-5 SST STK32A","93"
"48","Inh L2-5 PVALB SCUBE3","32"
"49","Endo L2-6 NOSTRIN","9"
"50","Exc L3-5 RORB COL22A1","160"
"51","Inh L2-5 VIP SERPINF1","55"
"52","Inh L3-5 SST ADGRG6","132"
"53","Inh L3-6 VIP HS3ST3A1","80"
"54","Exc L3-5 RORB FILIP1L","153"
"55","Exc L3-4 RORB CARM1P1","280"
"56","Inh L5-6 SST KLHDC8A","63"
"57","Inh L1-3 SST CALB1","279"
"58","Exc L4-6 RORB C1R","160"
"59","Exc L5-6 THEMIS FGF10","78"
"60","Exc L4-5 FEZF2 SCN4B","25"
"61","Exc L2-4 LINC00507 GLP2R","170"
"62","Inh L2-6 VIP QPCT","37"
"63","Inh L2-4 VIP SPAG17","33"
"64","Inh L1-4 VIP CHRNA6","25"
"65","Inh L4-6 SST GXYLT2","41"
"66","Exc L5-6 THEMIS DCSTAMP","53"
"67","Inh L3-6 SST NPY","15"
"68","Inh L5-6 PVALB LGR5","52"
"69","Exc L5-6 SLC17A7 IL15","56"
"70","Exc L6 FEZF2 SCUBE1","52"
"71","Inh L5-6 GAD1 GLP1R","27"
"72","Inh L1-4 VIP PENK","17"
"73","Inh L1-2 LAMP5 DBP","21"
"74","Exc L6 FEZF2 OR2T8","19"
"75","Inh L1-2 PAX6 TNFAIP8L3","16"
